fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210928 210349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0353112850273028	0.169212742519868	7309	481	0.0531053164251405	35	12738750
20210928 210544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0215582283482701	0.23783833198566	3526	634	0.0542453654172528	36	13182500
20210928 210744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	326	TRUE	0.0214261863927543	0.178604903691565	3904	397	0.054838586672683	37	12955000
20210928 210946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	374	TRUE	0.020793215559274	0.149174655795563	5809	582	0.0482131209870917	38	13151250
20210928 211134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	157	TRUE	0.0520642284099385	0.32519857637086	2806	670	0.0405216156284232	39	13963750
20210928 211238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	102	TRUE	0.0517358555371335	0.302389759214167	2733	690	0.0408192339872822	40	13763750
20210928 211340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.053138525159335	0.326219302513278	3675	708	0.0406529951564023	41	13418750
20210928 211429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0431290055887587	0.113266044360586	4025	716	0.0495420128558797	42	12763750
20210928 211530	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0487054878046084	0.165035752647091	2835	165	0.041764620742338	43	13431250
20210928 211648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	173	TRUE	0.0415162052139174	0.250959110533167	6337	176	0.0443813409575901	44	13272500
