Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0563634918830436	0.0150791502584268	0.00967057158581649
ctrx_quarter_lag1	0.0529228717709243	0.0094503833539001	0.00951332651938045
ctarjeta_visa_transacciones	0.0440451471547728	0.0122221923744149	0.0119506250491391
ctrx_quarter	0.0358753532344658	0.0163175186753963	0.0113216447833949
cpayroll_trx	0.0351631700416184	0.020182083507043	0.00385250412768299
Visa_mpagominimo	0.0303059548688045	0.0104573937353018	0.011793379982703
ctarjeta_visa_transacciones_lag1	0.0278990526656304	0.00623577524005716	0.00613255759100558
mpayroll	0.0224670857320489	0.0174282306914956	0.00684016038996777
mactivos_margen	0.0206529325206007	0.0155281891713631	0.0121864926487931
Visa_mconsumospesos	0.0180704679795222	0.00640165793827394	0.00951332651938045
cpayroll_trx_lag1	0.0170912452884664	0.00894845401922331	0.00267316612941269
mprestamos_personales	0.0160334766806724	0.017340039778861	0.00408837172733706
mcaja_ahorro_lag1	0.0157687431628477	0.00684284060030109	0.00770500825536599
cextraccion_autoservicio	0.012332672324506	0.00360458477643509	0.00377388159446497
mpayroll_lag1	0.0116344436611209	0.00976508958797425	0.0066042927903137
mactivos_margen_lag1	0.0115888235610954	0.0142623545818265	0.0101423067851246
mcaja_ahorro_delta1	0.0110906494052042	0.00766810225359299	0.00636842519065964
mautoservicio	0.0107909707415327	0.00779206959415345	0.00833398852111015
ctarjeta_debito_transacciones_lag1	0.0102246936011416	0.00265171058743728	0.0046387294598632
Visa_mconsumototal	0.00971310308413803	0.00465327145034823	0.00613255759100558
mactivos_margen_delta1	0.00830273816880905	0.0074818507663775	0.00628980265744162
ccomisiones_mantenimiento_delta1	0.00798110507280611	0.00795722632390264	0.00204418586366853
Visa_msaldototal	0.00776692735012872	0.00688003606628893	0.00951332651938045
mrentabilidad_lag1	0.00749900442103177	0.00694668260352418	0.00668291532353172
Visa_mpagospesos	0.0074421720099012	0.00513223517830536	0.00723327305605787
mrentabilidad	0.0074176150101894	0.00493251708567885	0.00526770972560736
ctarjeta_debito_transacciones	0.00696379868275457	0.00454907633255329	0.0058180674581335
cproductos_delta1	0.00616915363367388	0.00514965842152768	0.00172969573079645
mcomisiones_otras_delta1	0.00612228269686374	0.00386978697944541	0.00448148439342716
mcomisiones_otras_lag1	0.00596377898662874	0.00518040790163556	0.00715465052283985
ccomisiones_otras_lag1	0.00573819649320329	0.00419483223272273	0.00448148439342716
Master_fechaalta	0.00571437463506823	0.00839473308516938	0.00801949838823807
mcomisiones_mantenimiento	0.00561437681696972	0.00605727472735673	0.00338076892837487
mprestamos_personales_lag1	0.00553572158787196	0.0057040833914671	0.00204418586366853
mpayroll_delta1	0.00512938651326919	0.0119322853109242	0.00534633225882538
mprestamos_personales_delta1	0.00510325487404775	0.0128867825109976	0.00369525906124695
cproductos	0.00507468504697373	0.00656662604781705	0.0046387294598632
thomebanking	0.0049175295472473	0.00466231644720735	0.00259454359619467
mcuenta_debitos_automaticos	0.00480745587424373	0.013202993320204	0.00573944492491548
mrentabilidad_delta1	0.00469370391384294	0.00240085009986387	0.00361663652802893
mautoservicio_delta1	0.00454899723935144	0.00382966790026329	0.00408837172733706
active_quarter	0.00441128829744568	0.000102955926906143	0.000157245066436041
mextraccion_autoservicio_lag1	0.00437351786305945	0.00209329608081339	0.00290903372906675
Visa_mpagominimo_lag1	0.00435614564083043	0.0033228454065194	0.00558219985847944
canarito76	0.0043276964190396	0.00876790061683808	0.00974919411903452
ctrx_quarter_delta1	0.00414271804818348	0.0092868474419683	0.00589668999135152
Master_status	0.00397858359766733	0.00353147690051241	0.00102209293183426
Visa_fechaalta	0.00390736110892582	0.005367973150519	0.00715465052283985
mcomisiones_otras	0.00389485330073516	0.00373672419708699	0.00605393505778756
