Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.109225243466517	0.0212968490465155	0.0181785671712957
ctrx_quarter	0.0819591967615565	0.0312849594851539	0.0168673262605793
cpayroll_trx	0.0422020974695491	0.0238854867100611	0.00447013946835141
mcaja_ahorro	0.0383234293700634	0.0142719801825111	0.015794492788175
mpayroll	0.0274905416619646	0.0296665422351945	0.00971510311121707
mtarjeta_visa_consumo	0.0268733191350146	0.0152259587350554	0.0139468351412564
mcuentas_saldo	0.0267594729929879	0.0184524883389366	0.0179401597329837
mpasivos_margen_lag1	0.0178832643983762	0.00419673527090743	0.0060197878173799
mprestamos_personales	0.0164962805838731	0.0128085994150983	0.00387412087257122
mpayroll_lag1	0.0163173311305078	0.0198062933185726	0.0163905113839552
mactivos_margen	0.0148656557459147	0.0108878452453537	0.0106091310048874
Visa_msaldopesos	0.0142897054874415	0.0119032078280167	0.0138276314221004
ctarjeta_visa_transacciones	0.0132198476692957	0.0167292997304063	0.0149004648945047
mrentabilidad_annual	0.00892876991319458	0.00346860323209791	0.00369531529383717
Visa_msaldopesos_lag1	0.00851721070955436	0.00364001429472528	0.00590058409822386
mrentabilidad_annual_lag1	0.00845563686954274	0.00582604432998755	0.00649660269400405
Visa_mpagominimo	0.0083424702169815	0.0100788932105157	0.0122183812134939
ccomisiones_mantenimiento_delta1	0.00791980598257196	0.00637223921173385	0.00226487066396472
mcomisiones_otras_lag1	0.00721481624908142	0.0099831290507141	0.0109071403027774
mprestamos_personales_lag1	0.00678079699405155	0.00530964634711638	0.00208606508523066
mactivos_margen_delta1	0.00663759619156338	0.00489699631156095	0.00447013946835141
Master_fechaalta	0.00625692410526224	0.00477360594649718	0.00667540827273811
mactivos_margen_lag1	0.00611948652183877	0.00863984131757799	0.00482775062581953
Visa_msaldototal	0.00600339044495696	0.014297120117779	0.0150792704732388
chomebanking_transacciones	0.00571360617134338	0.00418210078489155	0.00399332459172726
mpasivos_margen_delta1	0.00555747811153936	0.00381781356708872	0.00470854690666349
ctrx_quarter_delta1	0.00525348572422264	0.0113054678208976	0.00661580641316009
mrentabilidad_annual_delta1	0.00514523992692621	0.00341744446659378	0.00447013946835141
mcuenta_debitos_automaticos	0.00503645547777916	0.0133853462195852	0.00458934318750745
Master_status	0.00477973004445217	0.00243173426651924	0.00119203719156038
cproductos_delta1	0.00473191246110715	0.00161679512837367	0.000774824174514245
mcomisiones_mantenimiento	0.00448362721592058	0.00586603405104545	0.00333770413636905
mprestamos_personales_delta1	0.00431379903078286	0.00797962603490989	0.00262248182143283
cproductos	0.00420577691150257	0.00556830395656395	0.00452974132792943
cliente_edad	0.00405188347672338	0.0103081550275166	0.0072714268685183
mcomisiones_lag1	0.00403555595837291	0.008723339288879	0.00780784360472047
mcuentas_saldo_delta1	0.00401782247919256	0.0044372870541455	0.00458934318750745
thomebanking	0.00399026395063254	0.00146179108825866	0.00154964834902849
canarito20	0.00395060617266218	0.0030233043129883	0.00441053760877339
Visa_fechaalta_lag1	0.00385332323685674	0.00346819032842152	0.00482775062581953
canarito3	0.00344169574845731	0.00340915984925831	0.00566217665991179
canarito55	0.00343049567295645	0.00187404296669758	0.00321850041721302
canarito17	0.00338100544705409	0.00218281823452239	0.00381451901299321
mcuentas_saldo_lag1	0.00337395125950983	0.00187453255248529	0.00458934318750745
mpayroll_delta1	0.00334590189806797	0.0108531849310331	0.00852306591965669
canarito68	0.00314503616312636	0.00219362451359578	0.00393372273214924
canarito38	0.00313871357458311	0.00284381508486365	0.00423173203003934
chomebanking_transacciones_lag1	0.00313596184581872	0.00227541483326374	0.00351650971510311
mrentabilidad_delta1	0.00313133455462752	0.00232168658882666	0.00375491715341519
mtransferencias_recibidas	0.00310015044496961	0.00455152865346537	0.00566217665991179
cpayroll_trx_lag1	0.00308895598208047	0.00611326307659307	0.0028608892597449
canarito12	0.00303825000678344	0.00256134767984853	0.00357611157468113
canarito61	0.00298629716135838	0.00242924209790105	0.00381451901299321
mrentabilidad_lag1	0.0029335599144613	0.0025645152409088	0.00292049111932292
ctarjeta_visa_debitos_automaticos_delta1	0.00292288962375266	0.013407185874754	0.00196686136607462
canarito48	0.00291663042945019	0.00201123906111249	0.00369531529383717
canarito7	0.00290713292056329	0.00232374225927266	0.00381451901299321
Visa_Fvencimiento_lag1	0.00284887636246985	0.00143402921464571	0.00393372273214924
Master_Fvencimiento	0.00284421658542844	0.0023386097409345	0.00393372273214924
mrentabilidad	0.00282910441994319	0.00175933537608579	0.00268208368101085
Visa_fechaalta	0.00281061772260016	0.00617314295760485	0.00810585290261056
canarito41	0.00280798878912328	0.00179325246378886	0.00321850041721302
canarito33	0.0028053789521219	0.00214259846713049	0.00369531529383717
cliente_edad_lag1	0.00274964069587748	0.00547068173021859	0.00494695434497556
cprestamos_personales_lag1	0.00274129266226763	0.000272893938346934	0.000298009297890094
canarito21	0.00271751900311255	0.00167178799944423	0.00333770413636905
Master_fechaalta_lag1	0.00267663216595502	0.00431401171224873	0.00649660269400405
ccallcenter_transacciones	0.0026741317048815	0.00532282977164097	0.00292049111932292
canarito72	0.00265561296700457	0.00217497306467107	0.00357611157468113
canarito69	0.00264843073626743	0.00170025770793099	0.00351650971510311
mcuenta_corriente	0.00262245952409768	0.00329635456486987	0.00530456550244368
canarito6	0.0026176946570134	0.00230256619929805	0.00363571343425915
canarito90	0.00253894143298743	0.00186755742966636	0.00351650971510311
canarito26	0.0025384544154144	0.00197103993890441	0.00363571343425915
Visa_Fvencimiento	0.00252633790224735	0.00154416832100949	0.00357611157468113
canarito11	0.00246636636287797	0.00169244498051139	0.00327810227679104
canarito86	0.00244600952874826	0.00462008246099321	0.00429133388961736
canarito79	0.00244507171188657	0.00270240442363764	0.00303969483847896
canarito64	0.00243393634142637	0.00208993260320756	0.00357611157468113
canarito52	0.0024261899594062	0.00270615889778077	0.00327810227679104
canarito66	0.00240635329176252	0.00267524420966741	0.00292049111932292
canarito54	0.00239515527441691	0.00127375475403284	0.00280128740016689
canarito56	0.00237134576311992	0.00195414627991631	0.00357611157468113
canarito50	0.00235344699978774	0.00212952121783698	0.00298009297890094
mtransferencias_recibidas_lag1	0.0023484343242156	0.00532935364972785	0.00625819525569198
canarito2	0.00233523301597604	0.00204879854910367	0.003158898557635
canarito5	0.002327948941821	0.00155495690421104	0.00292049111932292
canarito77	0.00231534818899347	0.00209681334804332	0.00333770413636905
Visa_mpagospesos_delta1	0.0023077371841418	0.00258175691870985	0.0028608892597449
mcaja_ahorro_lag1	0.00230701748131756	0.00610341827322326	0.00965550125163905
mcaja_ahorro_delta1	0.00228279640513994	0.0031008417247895	0.00405292645130528
cliente_antiguedad	0.00227735678065093	0.00408213090621474	0.00452974132792943
canarito9	0.00226952920065583	0.00211266000128059	0.003158898557635
canarito34	0.00226260864718976	0.00236505622140697	0.00363571343425915
canarito35	0.00225878871374245	0.00336758929698224	0.00405292645130528
canarito80	0.0022580504501742	0.0017665995314782	0.00268208368101085
canarito60	0.00223961873396428	0.00287621032758804	0.00417213017046132
canarito47	0.00223483340913563	0.00150153601642271	0.00327810227679104
canarito13	0.00221090566402539	0.00162337209407609	0.00303969483847896
canarito75	0.00220871078418543	0.0019238774911253	0.00351650971510311
canarito1	0.00219100884104203	0.00182535867393979	0.00292049111932292
canarito70	0.00217667762604806	0.00271762877204836	0.00321850041721302
mdescubierto_preacordado_delta1	0.00216171338045561	0.00857695018904058	0.000774824174514245
canarito65	0.00215183859215937	0.00184583279766455	0.00303969483847896
ccomisiones_otras	0.00214296075078875	0.00377917758022696	0.00470854690666349
canarito51	0.00213543249269301	0.00136293015088415	0.00274168554058887
Visa_mpagospesos	0.00213387064969485	0.00254098268066682	0.00417213017046132
canarito78	0.00210642572806667	0.00201394947881676	0.00292049111932292
Visa_mpagominimo_lag1	0.00210322286455083	0.00285688348622124	0.00351650971510311
canarito29	0.00210057024364695	0.00303828386850516	0.00363571343425915
canarito49	0.00208807206305399	0.00252230763724631	0.00345690785552509
canarito74	0.00208153228524584	0.00400014593195648	0.00393372273214924
canarito76	0.00207979129183659	0.00167183518843582	0.00303969483847896
mpasivos_margen	0.00207268173640319	0.00477707138806684	0.0102515198474192
mcomisiones_otras	0.00207120464226663	0.00227909557460752	0.00429133388961736
canarito46	0.00207015642693192	0.000763134473319094	0.0022052688043867
canarito39	0.00204916614552503	0.0016690274434364	0.00327810227679104
canarito36	0.00204592319148007	0.00148956180980754	0.0028608892597449
canarito16	0.00203094603554098	0.0025858181212983	0.0022052688043867
canarito14	0.00202388837357821	0.00195406664849301	0.00256287996185481
canarito37	0.00201218718798244	0.00140079931663262	0.00303969483847896
Visa_mconsumototal	0.00201096419139306	0.00605159886183691	0.00607938967695792
mtransferencias_recibidas_delta1	0.00200707785673212	0.00448350867140485	0.00399332459172726
canarito73	0.00200462991247122	0.00232321433242928	0.00268208368101085
