Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.128983770691664	0.0136140013646825	0.0112710073462816
ctrx_quarter	0.097144112670248	0.024481005704742	0.014088759182852
mcaja_ahorro	0.0537157252035629	0.00943742741010779	0.0113716413404448
cpayroll_trx	0.0477420278664303	0.0237735141467784	0.00694374559726276
mcuentas_saldo	0.0302766744261596	0.0163673168116877	0.0139881251886887
mpayroll	0.0269229758773316	0.0207062151979384	0.00774881755056858
mprestamos_personales	0.0236655429979901	0.0217855043063338	0.00795008553889504
ctarjeta_visa_transacciones	0.020888267694441	0.0120744664684953	0.0116735433229345
mpasivos_margen_lag1	0.0188083948790611	0.00327580688745389	0.00513233370232465
mactivos_margen	0.0186820837118929	0.0133373188096831	0.0124786152762403
mtarjeta_visa_consumo	0.0185595849804605	0.0101298316784856	0.0109691053637919
Visa_msaldopesos	0.0171404966220779	0.00856079226553111	0.010566569387139
mpayroll_lag1	0.0106747330519554	0.0117540024714224	0.00976149743383315
mautoservicio	0.0103020697711855	0.00629177953992848	0.00784945154473181
ccomisiones_mantenimiento_delta1	0.0102562975235853	0.00756048101791584	0.00322028781322331
mpasivos_margen	0.010099634257435	0.00516562718619954	0.0081513535272215
Visa_mpagominimo	0.00882330869579906	0.00882346398498758	0.0102646674046493
mactivos_margen_delta1	0.00873271616771017	0.0054807451980256	0.00633994163228339
mrentabilidad_annual_lag1	0.00762620627403134	0.00794061443493618	0.00654120962060984
thomebanking	0.00734116470812585	0.00400186909190618	0.00332092180738654
mcomisiones_otras_lag1	0.00706210478312757	0.0093540663252248	0.0112710073462816
Visa_msaldototal	0.00665459560441008	0.00945909195484567	0.0108684713696287
Master_status	0.00623724064162861	0.00812284238091586	0.00251584985408071
cpayroll_trx_lag1	0.00603545153359274	0.00361583815812937	0.00181141189493811
Visa_msaldopesos_lag1	0.00602466925711657	0.001895142094014	0.00301901982489685
mactivos_margen_lag1	0.00572569673738553	0.0160022900362359	0.00684311160309953
ctrx_quarter_delta1	0.00548264900514989	0.0137815701836957	0.00996276542215961
mcuenta_debitos_automaticos	0.00541776360490632	0.0144270410558024	0.00583677166146724
cproductos_delta1	0.00521352318780549	0.00349489310366258	0.00150950991244843
mcomisiones_mantenimiento	0.00519887158862445	0.0064359832587158	0.00332092180738654
mprestamos_personales_delta1	0.00504584256039604	0.0156465715645081	0.00573613766730402
mprestamos_personales_lag1	0.00502022370507773	0.00371282061990148	0.00201267988326457
mrentabilidad_annual	0.00493309833785505	0.00389295613274156	0.00644057562644661
mcomisiones_lag1	0.00486509494862015	0.00593482979829535	0.00795008553889504
cproductos	0.00481921875394416	0.00607345288904445	0.00442789574318205
mpasivos_margen_delta1	0.00446161156243826	0.00550534882515032	0.00573613766730402
mrentabilidad_annual_delta1	0.00442301378106123	0.00649800152557486	0.00704437959142598
mcaja_ahorro_lag1	0.0044109352526309	0.00401623552013287	0.00754754956224213
mcuentas_saldo_delta1	0.00423057182150582	0.00830137409818188	0.0067424776089363
chomebanking_transacciones	0.00397862082172691	0.00679041724258571	0.00644057562644661
mrentabilidad_lag1	0.0039154060800333	0.0034795155343349	0.00382409177820268
Visa_mpagominimo_lag1	0.00374269543029544	0.00272316505781216	0.00382409177820268
Visa_Fvencimiento	0.00363731156800305	0.00204527477652983	0.00432726174901882
mtransferencias_recibidas	0.00346201580457674	0.00484937466438219	0.00493106571399819
mcomisiones_mantenimiento_delta1	0.00311581901968562	0.00198838478511118	0.00130824192412197
chomebanking_transacciones_lag1	0.00298022197025051	0.00443605985386369	0.0053336016906511
Master_fechaalta	0.00295321040122943	0.0095110641236368	0.0067424776089363
ccallcenter_transacciones_delta1	0.00292636313461582	0.00742128946267217	0.00301901982489685
Visa_fechaalta_lag1	0.00289255538472876	0.00433443775421672	0.00543423568481433
cliente_edad	0.00269031114447984	0.00624517270836698	0.00714501358558921
canarito12	0.00261206951450561	0.00329020960064832	0.00493106571399819
cliente_edad_lag1	0.00260882606825165	0.00485092524200356	0.00563550367314079
Master_fechaalta_lag1	0.00260477080880937	0.00420494396135068	0.0074469155680789
mcomisiones	0.00245079031564364	0.0019351329664578	0.00372345778403945
mplazo_fijo_dolares	0.00244197843764934	0.0103157993951402	0.00241521585991748
mpagomiscuentas	0.00243879093902526	0.00429553784980293	0.00291838583073362
Visa_mconsumototal	0.00240269601844433	0.00331233617397541	0.00392472577236591
canarito20	0.0023930365634555	0.00349172905447576	0.00503169970816142
canarito49	0.00236114303153667	0.00378254581390826	0.00613867364395693
canarito52	0.00235051979059672	0.00463216559050452	0.00523296769648787
canarito79	0.0023499547571717	0.00306115227530502	0.00513233370232465
