Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.12535309315457	0.0205153967919333	0.0083227535618564
mcaja_ahorro	0.0586008574962597	0.0166382212189551	0.0134010438707857
cpayroll_trx	0.0424264217186634	0.0209956606510326	0.00324446325292707
mcuentas_saldo	0.0340323700316202	0.0134445051623644	0.0110029623360135
ctrx_quarter	0.0326147937342596	0.0157135387220311	0.0100155169981662
Visa_msaldototal	0.0287838907253417	0.00927799545667066	0.00620679926646918
ctarjeta_visa_transacciones	0.0256934260046854	0.012714629819178	0.0083227535618564
mpayroll_lag1	0.0239387890803242	0.0189227644880377	0.0100155169981662
mactivos_margen	0.0204876757252557	0.0211814960085767	0.0177740160812526
ccomisiones_otras	0.0180908756536201	0.00677133518837459	0.00507829030892933
mcaja_ahorro_lag1	0.0180011687878268	0.00566354915772396	0.00564254478769925
mpayroll	0.0179035065546046	0.022178103943647	0.00775849908308647
mtarjeta_visa_consumo	0.0178063182613537	0.0139232751208814	0.00747637184370151
cpayroll_trx_lag1	0.0176818378574241	0.0113759396325182	0.00282127239384963
mprestamos_personales	0.0169623727638695	0.0139429727875476	0.00493722668923685
Visa_mpagominimo_lag1	0.0129555694350104	0.00530704405135565	0.00479616306954436
Visa_msaldopesos_lag1	0.0115342514710402	0.00456436144812126	0.0067710537452391
Visa_mconsumototal	0.0112969410064867	0.00782464840032181	0.00592467202708422
mcuentas_saldo_lag1	0.0108911524905	0.00332658088871365	0.00733530822400903
mprestamos_personales_lag1	0.00974172756641863	0.00789740891210815	0.00338552687261955
mpasivos_margen_lag1	0.00928125158938904	0.00525620527170911	0.00775849908308647
Visa_mpagominimo	0.00907737130305286	0.0102442427998514	0.0110029623360135
matm	0.00888451108557095	0.00117591377209196	0.00253914515446466
mautoservicio_lag1	0.00887960175598601	0.00627262837124422	0.00719424460431655
mactivos_margen_delta1	0.00879133719125293	0.00404026251744229	0.00592467202708422
mcomisiones_otras_lag1	0.00729647271744044	0.00907538728837561	0.00959232613908873
Visa_mpagospesos_lag1	0.00726037570337072	0.00476706613246516	0.00874594442093384
mcomisiones_mantenimiento	0.00714827557459649	0.0042607849036747	0.00324446325292707
mactivos_margen_lag1	0.00695917319541429	0.00872276380571123	0.00691211736493158
ccomisiones_mantenimiento_delta1	0.00685436218458374	0.00905602113335548	0.0022570179150797
mcomisiones_mantenimiento_delta1	0.00672013149213192	0.00482135431177077	0.00211595429538722
thomebanking	0.00649100409932568	0.0045585453070903	0.00268020877415715
ctrx_quarter_delta1	0.0061055002166816	0.0135926195302063	0.00705318098462407
mpasivos_margen_delta1	0.00592097620574259	0.00421090708816674	0.00536041754831429
Visa_msaldopesos	0.00586128271922289	0.00629855761758644	0.00719424460431655
Visa_fechaalta	0.00577394439742282	0.00494760150002222	0.00719424460431655
cproductos_delta1	0.00548586005743707	0.00335349627729417	0.00141063619692481
mrentabilidad_annual_lag1	0.0053094378201631	0.00677930405693	0.00648892650585414
mrentabilidad_annual	0.00473904898207657	0.00403630535943926	0.00479616306954436
mcuenta_debitos_automaticos	0.0045412791686266	0.0129508717323238	0.00578360840739173
mtransferencias_recibidas_lag1	0.00453571671779362	0.00485115678911701	0.00620679926646918
