Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.120904247302035	0.0135314399870402	0.0110081112398609
ctrx_quarter	0.0904806948437822	0.0219915967454353	0.0107184241019699
mcaja_ahorro	0.0460197932782451	0.00905360154039952	0.0115874855156431
cpayroll_trx	0.0431819255653232	0.0206043054107033	0.00617999227500966
mpayroll	0.0291572269954589	0.0225822072032358	0.00869061413673233
mcuentas_saldo	0.0285505712858373	0.0152107444705683	0.0138084202394747
mprestamos_personales	0.0224611972079361	0.0188056507956768	0.00637311703360371
ctarjeta_visa_transacciones	0.0207857165523627	0.0128233229625996	0.0132290459636925
mpayroll_lag1	0.0185107392086079	0.0132162480860599	0.0113943607570491
mpasivos_margen_lag1	0.0174599757873348	0.00283179086985515	0.00444186944766319
mtarjeta_visa_consumo	0.0173944010878116	0.00920369781888117	0.0108149864812669
Visa_msaldopesos	0.017289155521704	0.00909885792235578	0.0121668597914253
mactivos_margen	0.0149560602970574	0.0145449541903228	0.0116840478949401
ccomisiones_mantenimiento_delta1	0.00998960247107383	0.00734489784094777	0.00289687137891078
Visa_msaldototal	0.00859713492081381	0.0094220411126401	0.011297798377752
mactivos_margen_delta1	0.00822257051756749	0.00443486457355654	0.00598686751641561
mrentabilidad_annual_lag1	0.00806806948444942	0.00852327941584187	0.00695249130938586
Visa_msaldopesos_lag1	0.00790473932326068	0.00105821124515268	0.00280030899961375
mpasivos_margen	0.00776466251810285	0.00432698467620362	0.00724217844727694
Visa_mpagominimo	0.00739917575976799	0.0088898177334395	0.00994592506759367
mcomisiones_otras_lag1	0.00707123991367722	0.0091591713381137	0.00965623792970259
mactivos_margen_lag1	0.00674783676757263	0.0126819528911138	0.00762842796446504
thomebanking	0.00617336829151258	0.00254802736026831	0.00280030899961375
ctrx_quarter_delta1	0.00614623153336448	0.0108103482892328	0.00811123986095017
mcuenta_debitos_automaticos	0.00576396177865661	0.0145526946544761	0.0056006179992275
cproductos_delta1	0.00568654888071551	0.00255611396312964	0.00154499806875241
mprestamos_personales_lag1	0.00556798616623158	0.00441962694564631	0.0022209347238316
Master_status	0.00525961608544482	0.00748638078375144	0.00173812282734647
cpayroll_trx_lag1	0.00485103146705923	0.00384054942827893	0.00183468520664349
mrentabilidad_annual	0.00478573100628335	0.00360218527098429	0.00540749324063345
mpasivos_margen_delta1	0.00476645968326143	0.00454889470360672	0.00502124372344535
cproductos	0.00475054510641212	0.0052242614881092	0.00531093086133642
mrentabilidad_annual_delta1	0.00472148424429489	0.0053445873294441	0.00724217844727694
mcomisiones_mantenimiento	0.00459391113461565	0.00733255724352911	0.00347624565469293
mcuentas_saldo_delta1	0.00458173321302435	0.0115897297555146	0.00753186558516802
Visa_fechaalta_lag1	0.00416851408782409	0.00449232861560153	0.00502124372344535
chomebanking_transacciones	0.00416208183366501	0.0063486905730693	0.00482811896485129
mprestamos_personales_delta1	0.00410257463512143	0.0154943173530406	0.00444186944766319
mcaja_ahorro_lag1	0.00394569740263359	0.002828229152714	0.0056006179992275
mcomisiones_lag1	0.00390209965920523	0.0059664857165536	0.00762842796446504
mrentabilidad_lag1	0.00375552637521902	0.00258809416985481	0.00415218230977211
Master_fechaalta	0.00371960227052777	0.00942101272952188	0.0078215527230591
canarito14	0.00346910510886513	0.00489901902333693	0.00627655465430668
cliente_edad	0.00341510109788192	0.00786132926865491	0.0082078022402472
chomebanking_transacciones_lag1	0.00323991860075734	0.00389048871580036	0.0052143684820394
mcuentas_saldo_lag1	0.00300871330039206	0.00137310717245505	0.00347624565469293
mrentabilidad	0.00295276122451287	0.00219890132463822	0.00366937041328698
mcomisiones_otras	0.00292574864329165	0.00218675135433416	0.00386249517188104
canarito80	0.00287704747273485	0.0032032854924323	0.0052143684820394
Master_Fvencimiento_lag1	0.00281365209434335	0.00193871537922523	0.00386249517188104
canarito17	0.00279523275722551	0.00289170798187483	0.00502124372344535
Visa_fechaalta	0.00279025377115797	0.00520766438788171	0.00743530320587099
canarito89	0.00278168072858851	0.00244804845516514	0.00463499420625724
Visa_Fvencimiento_lag1	0.00273393953140645	0.00219249023378414	0.00395905755117806
Master_Fvencimiento	0.00270940066204557	0.00260847120510464	0.00453843182696022
canarito82	0.00266756472675037	0.00295728370929624	0.00473155658555427
tcallcenter	0.00265073777670756	0.00250915698665105	0.00135187331015836
mtransferencias_recibidas_lag1	0.00264098221818509	0.00454193179742091	0.00550405561993048
cliente_edad_lag1	0.00257327671014764	0.00416986278524846	0.00540749324063345
mcomisiones_mantenimiento_delta1	0.00255771125158455	0.00186181489624585	0.00125531093086134
canarito20	0.00255198522685036	0.0026437673203232	0.00473155658555427
canarito3	0.00254668964532489	0.00386671049150588	0.00482811896485129
Visa_Fvencimiento	0.00251498113038863	0.00184370532035912	0.00366937041328698
mtransferencias_recibidas	0.00248488581443891	0.00480338440984537	0.00531093086133642
canarito38	0.00244370578981206	0.00226717593068208	0.00482811896485129
canarito9	0.00242879825089565	0.00291559406098415	0.00444186944766319
canarito26	0.0024230384787471	0.00219801842010746	0.00473155658555427
canarito52	0.00239531348486755	0.00443613625707102	0.00463499420625724
mcaja_ahorro_delta1	0.00239245372918688	0.00572629555216125	0.00473155658555427
canarito33	0.00237597552118219	0.00287178995665094	0.00492468134414832
mpagomiscuentas	0.00235126517890984	0.00435777095521105	0.00251062186172267
canarito41	0.00234750113946049	0.0031755417225039	0.00395905755117806
canarito8	0.00230871469168584	0.00199980384469908	0.00405561993047509
canarito36	0.00225379405851659	0.00298042734595923	0.00569718037852453
canarito45	0.00224331543979621	0.00201533242978422	0.00453843182696022
canarito51	0.00220997655721422	0.00187730836580988	0.00424874468906914
canarito29	0.0022028643414444	0.00322440497012846	0.00405561993047509
canarito46	0.00218771301728121	0.00206131369642625	0.00434530706836617
canarito55	0.00218506589479406	0.00256969363679317	0.00405561993047509
Visa_mconsumototal	0.0021835766814364	0.00381737569259785	0.00376593279258401
canarito87	0.00218083126924186	0.00302804399258438	0.00482811896485129
canarito49	0.00218019057605507	0.00323225579734805	0.00502124372344535
canarito70	0.0021787109854211	0.00245827961306569	0.00463499420625724
canarito53	0.00217515900270943	0.00214300744803714	0.00482811896485129
ccallcenter_transacciones_delta1	0.00215887975045595	0.00588814298895721	0.00231749710312862
canarito2	0.00214536937498265	0.00306629733633071	0.00386249517188104
tmobile_app	0.00214327681398582	0.00903603123858698	0.00154499806875241
Visa_mfinanciacion_limite	0.00213261694108948	0.0035549072383127	0.00395905755117806
canarito56	0.00209957390450818	0.00226278899879484	0.00405561993047509
Master_fechaalta_lag1	0.00205936996200162	0.00352150485298258	0.00540749324063345
mpayroll_delta1	0.00204785940083553	0.00725211761767215	0.00666280417149479
canarito35	0.00202434255746317	0.00265985524549459	0.00463499420625724
ctarjeta_visa_debitos_automaticos_delta1	0.00201812117205464	0.00818151259013584	0.00154499806875241
ccomisiones_mantenimiento	0.0020178433220876	0.0108667362913809	0.00289687137891078
canarito16	0.00200539033446636	0.00240779101846404	0.00395905755117806
canarito1	0.00200234465787155	0.00258231014187769	0.00376593279258401
ccomisiones_otras	0.00200133676074734	0.00618908802137287	0.0026071842410197
canarito75	0.00200091723244774	0.00371139955813939	0.00453843182696022
mtransferencias_emitidas_delta1	0.0019669744439434	0.00595682894824836	0.00424874468906914
canarito60	0.00195908557119036	0.00202283962654724	0.00366937041328698
Visa_msaldopesos_delta1	0.00195342134307215	0.00181183296844879	0.00328312089609888
mplazo_fijo_dolares	0.00195072553588903	0.00824032105498904	0.00173812282734647
canarito78	0.0019485314204632	0.00236637978606932	0.00395905755117806
canarito12	0.00193472080894485	0.00395950325603904	0.00386249517188104
canarito31	0.0019287418421249	0.00245459499160064	0.00347624565469293
canarito11	0.00191853302101923	0.00263571834123448	0.00444186944766319
canarito74	0.00191502169615175	0.00230483983532406	0.00386249517188104
ccajas_consultas	0.00189711428505575	0.00843180348335033	0.00164156044804944
Visa_mpagospesos	0.0018854411132132	0.00302659422321284	0.00415218230977211
canarito68	0.00187801264113432	0.00272132496519763	0.00318655851680185
canarito7	0.0018768642430825	0.00261321180045449	0.00366937041328698
canarito84	0.00187263058545186	0.0026400977483672	0.00463499420625724
canarito65	0.00186809759294837	0.00248575249183124	0.00463499420625724
canarito47	0.00186409246291795	0.00305190498917863	0.00434530706836617
ctransferencias_emitidas_delta1	0.00186154478134857	0.00593358498152505	0.00357280803398996
canarito54	0.00184156720418252	0.00189160539940466	0.00357280803398996
ccaja_ahorro	0.00183329582020286	0.00778848713661524	0.00308999613750483
canarito81	0.00183305442523495	0.00341538825643968	0.00386249517188104
canarito58	0.00182972093724807	0.00157876373008724	0.00376593279258401
canarito72	0.0018272921024789	0.00135781687126315	0.00347624565469293
canarito66	0.00181258692555383	0.00392852133341399	0.00357280803398996
canarito79	0.00179029846985886	0.00302346392533104	0.00347624565469293
canarito34	0.00177039667730279	0.00174378661329214	0.00376593279258401
canarito15	0.00177032053424285	0.00219128627306037	0.00424874468906914
